road,id,model_type,condition,name,lat,lon,length
N1,1000011,link,,Km post missing,23.6947497,90.4884997,825.0000000000002
N1,1000012,link,,Km post missing,23.6959163,90.4981941,1000.0
N1,1000016,link,,Kachpur bridge,23.7021111,90.5157778,10.999999999999233
N1,1000021,link,,Km post missing,23.7025278,90.5273882,740.0000000000002
N1,1000022,link,,Box culvert,23.7015278,90.5281938,112.0000000000001
N1,1000025,link,,Km post missing,23.6966386,90.5348052,125.99999999999945
N1,1000026,bridge,B,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,8.0
N1,1000028,link,,Box culvert,23.6943608,90.5376108,381.99999999999966
N1,1000035,bridge,B,NAYABARI BOX CULVERT,23.6909119315151,90.5454624957575,10.6
N1,28,intersection,,Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.5466108,1.0
N1,1000041,link,,Box culvert,23.6854997,90.5512778,148.00000000000148
N1,1000045,link,,Km post missing,23.670916,90.5597778,1000.0
N1,1000046,link,,Box culvert,23.6705827,90.5599722,39.00000000000148
N1,1000047,bridge,B,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,5.55
N1,1000048,link,,Km post missing,23.6628333,90.5641111,960.9999999999985
N1,1000051,link,,Bridge end,23.6583056,90.5709993,160.00000000000014
N1,1000052,link,,Km post missing,23.6575,90.5719716,121.99999999999989
N1,1000054,link,,Bridge end,23.6559167,90.5745271,21.000000000000796
N1,1000055,bridge,C,Langalbandh Bridge.,23.6544257051136,90.576730225,159.52
N1,1000056,link,,Bridge start,23.6540556,90.5772771,352.00000000000034
N1,1000058,link,,Bridge end,23.6539167,90.5774993,30.000000000001137
N1,1000060,bridge,B,DARIKANDI BRIDGE (R),23.6515705663716,90.5814943946902,20.0
N1,1000061,link,,Bridge start,23.6508889,90.5826382,338.99999999999864
N1,1000062,link,,Bridge end,23.6506944,90.5829993,41.00000000000037
N1,1000064,link,,Km post missing,23.6476108,90.588083,620.000000000001
N1,1000065,bridge,C,MOLLIK PARA BRIDGE (R),23.6459685949152,90.5892119813559,40.5
N1,1000070,link,,Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),23.6358608,90.5948052,519.9999999999995
N1,1000071,link,,Bridge start,23.6341108,90.5970274,297.9999999999983
N1,1000072,bridge,B,SHADIPUR BOX CULVERT,23.63380522,90.597394085,10.4
N1,1000073,link,,Bridge end,23.6335552,90.5976941,100.00000000000142
N1,1000077,link,,"Ctg 238 km,Comilla 71 km",23.6252216,90.6049722,130.00000000000256
N1,1000081,bridge,B,SANGAKADI CULVERT,23.6198832229508,90.6083528852459,5.5
N1,1000096,link,,Km post missing,23.5896108,90.6313882,316.0000000000025
N1,1000131,bridge,C,BOCTAR KANDI BOX CULVERT,23.5393910168,90.6784577888,5.1
N1,1000134,link,,Bridge end,23.5358608,90.6823604,39.99999999999915
N1,1000151,bridge,C,Baldhakhal Bridge,23.5324186,90.7242807234,23.1
N1,1000153,bridge,B,MAIS PARA BOX CULVERT,23.5317587831999,90.7291780095,6.0
N1,1000159,bridge,C,SHAHID NAGIR,23.5298050611,90.75825325,16.5
N1,1000163,bridge,C,SARKAR BARI CULVERT,23.5307655282208,90.7800797251533,3.9
N1,118,intersection,,"Z1402, road to Pennai",23.5307493,90.7816104,1.0
N1,1000169,bridge,C,AMIRABATH SLAB CULVERT,23.5308683409424,90.7918075171727,6.5
N1,122,intersection,,Z1044,23.5306938,90.7924441,1.0
N1,1000184,bridge,C,AITAL BANGA BOX CULVERT,23.5229166652,90.8442186132,4.5
N1,1000185,link,,Km post Missing,23.5174993,90.8513889,1000.0
N1,139,intersection,,"Z1042, road to Bancharampur",23.5126389,90.871416,1.0
N1,1000191,bridge,C,Illiot bazar Bridge,23.510087758207,90.8757204035353,28.9
N1,1000196,bridge,B,KHAT GHOR BOX CULVERT,23.5060024341,90.9021745389,5.9
N1,1000200,bridge,B,BAKRA BOX CULVERT,23.5056131416,90.9214660218,3.0
N1,1000206,bridge,B,MATIA BAZER,23.5024077848,90.9432418928,6.0
N1,1000213,bridge,B,KARON KHAL SLAB CULVERT,23.495896314,90.9715772516,4.6
N1,1000226,bridge,C,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.4868805937254,91.017566692647,23.1
