road,id,model_type,condition,name,lat,lon,length
N1,1000000,sourcesink,,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,0.0
N1,1000001,link,,Box Culvert,23.7029167,90.4504167,0.0
N1,1000002,link,,Intersection with Z1101,23.7027778,90.4504722,8.000000000000007
N1,1000003,link,,Km post missing,23.7021389,90.4519722,178.00000000000006
N1,1000004,bridge,A,.,23.69873866,90.4588610799999,11.3
N1,1000005,link,,Km post missing,23.6978886,90.4605833,1000.0
N1,1000006,link,,Box culvert,23.6973608,90.4616667,129.9999999999999
N1,1000007,link,,Km post missing,23.693833,90.4691382,870.0000000000001
N1,1000008,link,,Km post missing,23.6936108,90.4787771,1000.0
N1,1000009,link,,Road to Narayanganj(R111),23.6938052,90.4805271,174.99999999999983
N1,1000010,bridge,A,.,23.6946638363636,90.4877749181818,6.6
N1,1000011,link,,Km post missing,23.6947497,90.4884997,825.0000000000002
N1,1000012,link,,Km post missing,23.6959163,90.4981941,1000.0
N1,1000013,link,,Km post missing,23.697333,90.50775,1000.0
N1,1000014,link,,"R110,Left to Demra, Right to Narayanganj",23.6979163,90.5092778,181.00000000000006
N1,1000015,link,,Km post missing,23.7020556,90.5157222,819.0
N1,1000016,link,,Kachpur bridge,23.7021111,90.5157778,10.999999999999233
N1,1000017,link,,Bridge end,23.7045833,90.5188327,418.000000000001
N1,1000018,link,,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327,73.99999999999984
N1,1000019,link,,Road to Sylhet (N2),23.7060833,90.5215271,259.9999999999998
N1,1000020,bridge,A,Kanch pur Bridge.,23.7050598925675,90.5232141463513,394.23
N1,1000021,link,,Km post missing,23.7025278,90.5273882,740.0000000000002
N1,1000022,link,,Box culvert,23.7015278,90.5281938,112.0000000000001
N1,1000023,link,,Box culvert,23.6998608,90.5307216,347.999999999999
N1,1000024,link,,Box culvert,23.6974163,90.5337774,414.0000000000015
N1,1000025,link,,Km post missing,23.6966386,90.5348052,125.99999999999945
N1,1000026,bridge,B,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,8.0
N1,1000027,bridge,A,NOYAPARA CULVERT,23.6943906141361,90.5375740774869,6.3
N1,1000028,link,,Box culvert,23.6943608,90.5376108,381.99999999999966
N1,1000029,bridge,A,ADUPUR CULVERT,23.6943023869158,90.5377073719626,6.3
N1,1000030,bridge,A,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,8.3
N1,1000031,link,,Box culvert,23.6922774,90.5410552,428.0000000000008
N1,1000032,link,,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,183.99999999999926
N1,1000033,link,,Bridge start,23.6911108,90.5448886,247.99999999999932
N1,1000034,link,,Bridge end,23.6910552,90.5451386,26.000000000001577
N1,1000035,bridge,B,NAYABARI BOX CULVERT,23.6909119315151,90.5454624957575,10.6
N1,1000036,intersection,,Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.5466108,0.0
N1,1000037,bridge,A,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,9.3
N1,1000038,bridge,A,DAWAN BAG BOX CULVERT,23.6883197331632,90.548649807653,6.1
N1,1000039,link,,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,752.9999999999983
N1,1000040,bridge,A,Madanpur Bridge.(L),23.685583027027,90.551207981081,27.5
N1,1000041,link,,Box culvert,23.6854997,90.5512778,148.00000000000148
N1,1000042,bridge,A,Madanpur Bridge(R),23.6853619779342,90.5513591765258,27.5
N1,1000043,link,,Km post missing,23.678166,90.5556111,851.9999999999985
N1,1000044,bridge,A,KAWTALA BOX CULVERT,23.6778035,90.5558194349999,11.9
N1,1000045,link,,Km post missing,23.670916,90.5597778,1000.0
N1,1000046,link,,Box culvert,23.6705827,90.5599722,39.00000000000148
N1,1000047,bridge,B,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,5.55
N1,1000048,link,,Km post missing,23.6628333,90.5641111,960.9999999999985
N1,1000049,link,,Road to MinanbariZ1061),23.6604167,90.5671104,411.00000000000136
N1,1000050,link,,Langalbandhu bridge,23.6591111,90.5697216,307.0000000000004
N1,1000051,link,,Bridge end,23.6583056,90.5709993,160.00000000000014
N1,1000052,link,,Km post missing,23.6575,90.5719716,121.99999999999989
N1,1000053,link,,Bridge start,23.6559722,90.5743327,306.99999999999864
N1,1000054,link,,Bridge end,23.6559167,90.5745271,21.000000000000796
N1,1000055,bridge,C,Langalbandh Bridge.,23.6544257051136,90.576730225,159.52
N1,1000056,link,,Bridge start,23.6540556,90.5772771,352.00000000000034
N1,1000057,bridge,A,Darikandi Bridge (R),23.65397226,90.57741042,20.45
N1,1000058,link,,Bridge end,23.6539167,90.5774993,30.000000000001137
N1,1000059,link,,Km post missing,23.6525278,90.5798882,289.99999999999915
N1,1000060,bridge,B,DARIKANDI BRIDGE (R),23.6515705663716,90.5814943946902,20.0
N1,1000061,link,,Bridge start,23.6508889,90.5826382,338.99999999999864
N1,1000062,link,,Bridge end,23.6506944,90.5829993,41.00000000000037
N1,1000063,bridge,A,Sonakhal Bridge(L),23.6497543993548,90.5845490085483,25.5
N1,1000064,link,,Km post missing,23.6476108,90.588083,620.000000000001
N1,1000065,bridge,C,MOLLIK PARA BRIDGE (R),23.6459685949152,90.5892119813559,40.5
N1,1000066,link,,Box culvert,23.6449441,90.5899163,353.9999999999992
N1,1000067,link,,Box culvert,23.6397497,90.5926941,643.0000000000007
N1,1000068,link,,Km post missing,23.6396941,90.5927219,3.0000000000001137
N1,1000069,bridge,A,KRIBORDI BOX CULVERT,23.6379543715384,90.5936673976923,6.0
N1,1000070,link,,Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),23.6358608,90.5948052,519.9999999999995
N1,1000071,link,,Bridge start,23.6341108,90.5970274,297.9999999999983
N1,1000072,bridge,B,SHADIPUR BOX CULVERT,23.63380522,90.597394085,10.4
N1,1000073,link,,Bridge end,23.6335552,90.5976941,100.00000000000142
N1,1000074,link,,Km post missing,23.6330549,90.5982774,82.00000000000074
N1,1000075,bridge,A,Marikhali Bridge(L),23.6284668507692,90.6023015723077,86.92
N1,1000076,link,,Box culvert,23.6262771,90.6042222,974.9999999999978
N1,1000077,link,,"Ctg 238 km,Comilla 71 km",23.6252216,90.6049722,130.00000000000256
N1,1000078,link,,Bridge start,23.6242216,90.6055278,135.99999999999923
N1,1000079,link,,Bridge end,23.6224993,90.6066944,227.99999999999798
N1,1000080,link,,Bridge start,23.6204716,90.6079722,259.00000000000034
N1,1000081,bridge,B,SANGAKADI CULVERT,23.6198832229508,90.6083528852459,5.5
N1,1000082,link,,Bridge end,23.6195271,90.6085833,121.99999999999989
N1,1000083,bridge,A,ASHIR CHAR (Right),23.6176407964705,90.6095506105882,224.8
N1,1000084,link,,Km post missing,23.6173604,90.6096944,255.00000000000256
N1,1000085,bridge,A,Asharirchar-2 Bridge.(R),23.613587384385,90.6109029561497,119.32
N1,1000086,link,,Meghna  bridge,23.6095556,90.6121944,934.9999999999987
N1,1000087,link,,Km post missing,23.609,90.6124722,65.00000000000128
N1,1000088,bridge,A,Meghna Bridge,23.6027595885583,90.6155316965675,924.85
N1,1000089,link,,Bridge end,23.6018611,90.6159722,873.9999999999987
N1,1000090,link,,Km post missing,23.6009444,90.6165556,126.00000000000122
N1,1000091,link,,Km post missing,23.5959997,90.624666,1000.0
N1,1000092,link,,Box culvert,23.5959441,90.6246938,9.99999999999801
N1,1000093,bridge,A,TATULTALA CULVERT,23.5929818827893,90.6279699370919,5.6
N1,1000094,link,,Box culvert,23.5917497,90.6293327,673.9999999999995
N1,1000095,bridge,A,BAILAKANDI CULVERT,23.5908088547468,90.6302368598101,5.5
N1,1000096,link,,Km post missing,23.5896108,90.6313882,316.0000000000025
N1,1000097,bridge,A,MALUAKANDI CULVEDRT,23.58631812254,90.6345094207093,5.6
N1,1000098,link,,Bridge start,23.5837497,90.6369441,873.9999999999987
N1,1000099,link,,Km post missing,23.5828327,90.6378886,126.00000000000122
N1,1000100,link,,Bridge end,23.5825827,90.6381386,38.999999999997925
N1,1000101,bridge,A,Bhater char Bridge (L),23.5779800248475,90.6419193089939,172.1
N1,1000102,link,,Bridge start,23.577916,90.6419719,656.0000000000024
N1,1000103,link,,Bridge end,23.5776104,90.6421108,38.999999999997925
N1,1000104,link,,Information missing,23.5745271,90.6436941,396.0000000000008
N1,1000105,link,,Bridge start,23.572166,90.6451108,307.99999999999983
N1,1000106,link,,Bridge end,23.5718327,90.6453052,45.999999999999375
N1,1000107,bridge,A,Anarpara Bridge (L),23.5716306256965,90.6454159236842,29.85
N1,1000108,link,,Km post missing,23.5666111,90.6481663,646.0000000000008
N1,1000109,bridge,A,VITIKANDA - ANAR PUR CULVERT,23.5660033956521,90.6486237247282,34.7
N1,1000110,link,,Bridge start,23.5639167,90.6501944,367.9999999999985
N1,1000111,link,,Bridge end,23.5636944,90.6504722,38.000000000000256
N1,1000112,link,,Bridge start,23.5604167,90.6542222,532.0
N1,1000113,link,,Bridge end,23.5602222,90.6545,38.000000000000256
N1,1000114,link,,"Ctg 229 km,Comilla 62 km",23.5599722,90.6548056,39.00000000000148
N1,1000115,bridge,A,Alipur bridge(R),23.5591910296296,90.6557475703703,27.4
N1,1000116,link,,Road to Gazara (Z1063),23.5590278,90.6559444,161.99999999999903
N1,1000117,link,,Bridge start,23.5564444,90.6588611,411.99999999999903
N1,1000118,link,,Bridge end,23.5562222,90.6591389,40.0000000000027
N1,1000119,bridge,A,Bhaber char Bridge(R),23.5557082901265,90.6597414245569,29.85
N1,1000120,link,,"Ctg 228 km,Comilla 61 km",23.5538056,90.6619722,394.99999999999955
N1,1000121,link,,Box culvert,23.5523333,90.6636667,241.99999999999733
N1,1000122,bridge,A,Baushia Bridge(R),23.5517421907216,90.6643538752577,29.87
N1,1000123,link,,"Ctg 227 km,Comilla 60 km",23.5487497,90.6678327,582.0000000000007
N1,1000124,bridge,A,PURRANBUICHE BOX CULVERT,23.5477377446428,90.6690554098214,9.1
N1,1000125,bridge,A,NOYAPARA,23.5476246437499,90.669192065625,5.2
N1,1000126,link,,Bridge start,23.5474163,90.6694438,224.00000000000375
N1,1000127,link,,Bridge end,23.5469441,90.6699993,76.99999999999818
N1,1000128,link,,Box culvert,23.5442219,90.6731104,442.99999999999784
N1,1000129,bridge,A,Madhya Baushia Bridge(L),23.54268543125,90.6748292125,72.49
N1,1000130,link,,Km post missing,23.542583,90.6749438,256.0000000000002
N1,1000131,bridge,C,BOCTAR KANDI BOX CULVERT,23.5393910168,90.6784577888,5.1
N1,1000132,link,,Km post missing,23.5362497,90.681916,1000.0
N1,1000133,link,,Bridge start,23.536083,90.6821382,33.99999999999892
N1,1000134,link,,Bridge end,23.5358608,90.6823604,39.99999999999915
N1,1000135,link,,Box culvert,23.5341386,90.6843052,275.0000000000057
N1,1000136,bridge,A,.,23.5327751898617,90.6858701078341,9.5
N1,1000137,bridge,A,Baushia bazar Bridge( L ),23.5313996605222,90.68744892596,25.45
N1,1000138,link,,Km post missing,23.5301938,90.688833,650.9999999999962
N1,1000139,bridge,A,CHAR BOUSHEA (2),23.5301519626506,90.6897951837349,8.4
N1,1000140,link,,Daudkandi bridge,23.529916,90.6952219,664.0000000000015
N1,1000141,link,,Km post missing,23.5301382,90.6984997,335.9999999999985
N1,1000142,bridge,A,Daudkandi Bridge.,23.5303844733,90.7024402743,1408.8
N1,1000143,link,,Km post missing,23.5307493,90.7082778,1000.0
